group,attack, ,test_recall,test_confusion_matrix, ,test_manipulated_recall,test_manipulatedconfusion_matrix, ,num of observations
0,1, ,0.38,"[[ 0  0]
 [13  8]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
0,2, ,0.36,"[[ 0  0]
 [14  8]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
0,3, ,0.36,"[[ 0  0]
 [14  8]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
0,4, ,0.36,"[[ 0  0]
 [14  8]]", ,0.36,"[[ 0  0]
 [14  8]]", ,22
0,5, ,0.38,"[[ 0  0]
 [13  8]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
0,6, ,0.33,"[[ 0  0]
 [14  7]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
1,1, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,2, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,3, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,4, ,0.43,"[[ 0  0]
 [13 10]]", ,0.43,"[[ 0  0]
 [13 10]]", ,23
1,5, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,6, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
2,1, ,0.5,"[[ 0  0]
 [12 12]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,2, ,0.5,"[[ 0  0]
 [12 12]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,3, ,0.5,"[[ 0  0]
 [12 12]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,4, ,0.5,"[[ 0  0]
 [12 12]]", ,0.5,"[[ 0  0]
 [12 12]]", ,24
2,5, ,0.5,"[[ 0  0]
 [12 12]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,6, ,0.5,"[[ 0  0]
 [12 12]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
3,1, ,0.5,"[[ 0  0]
 [11 11]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
3,2, ,0.48,"[[ 0  0]
 [12 11]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
3,3, ,0.48,"[[ 0  0]
 [12 11]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
3,4, ,0.5,"[[ 0  0]
 [11 11]]", ,0.5,"[[ 0  0]
 [11 11]]", ,22
3,5, ,0.5,"[[ 0  0]
 [11 11]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
3,6, ,0.48,"[[ 0  0]
 [12 11]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,1, ,0.38,"[[ 0  0]
 [13  8]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,2, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,3, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,4, ,0.43,"[[ 0  0]
 [13 10]]", ,0.43,"[[ 0  0]
 [13 10]]", ,23
4,5, ,0.38,"[[ 0  0]
 [13  8]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,6, ,0.43,"[[ 0  0]
 [13 10]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
