group,attack, ,test_recall,test_confusion_matrix, ,test_manipulated_recall,test_manipulatedconfusion_matrix, ,num of observations
0,1, ,0.67,"[[ 0  0]
 [ 7 14]]", ,0.62,"[[ 0  0]
 [ 8 13]]", ,21
0,2, ,0.68,"[[ 0  0]
 [ 7 15]]", ,0.0,"[[ 0  0]
 [22  0]]", ,22
0,3, ,0.68,"[[ 0  0]
 [ 7 15]]", ,0.36,"[[ 0  0]
 [14  8]]", ,22
0,4, ,0.68,"[[ 0  0]
 [ 7 15]]", ,0.68,"[[ 0  0]
 [ 7 15]]", ,22
0,5, ,0.67,"[[ 0  0]
 [ 7 14]]", ,0.62,"[[ 0  0]
 [ 8 13]]", ,21
0,6, ,0.67,"[[ 0  0]
 [ 7 14]]", ,0.62,"[[ 0  0]
 [ 8 13]]", ,21
1,1, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.78,"[[ 0  0]
 [ 5 18]]", ,23
1,2, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
1,3, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.17,"[[ 0  0]
 [19  4]]", ,23
1,4, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.78,"[[ 0  0]
 [ 5 18]]", ,23
1,5, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.78,"[[ 0  0]
 [ 5 18]]", ,23
1,6, ,0.78,"[[ 0  0]
 [ 5 18]]", ,0.78,"[[ 0  0]
 [ 5 18]]", ,23
2,1, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.75,"[[ 0  0]
 [ 6 18]]", ,24
2,2, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.0,"[[ 0  0]
 [24  0]]", ,24
2,3, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.21,"[[ 0  0]
 [19  5]]", ,24
2,4, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.88,"[[ 0  0]
 [ 3 21]]", ,24
2,5, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.75,"[[ 0  0]
 [ 6 18]]", ,24
2,6, ,0.88,"[[ 0  0]
 [ 3 21]]", ,0.75,"[[ 0  0]
 [ 6 18]]", ,24
3,1, ,0.91,"[[ 0  0]
 [ 2 20]]", ,0.91,"[[ 0  0]
 [ 2 20]]", ,22
3,2, ,0.87,"[[ 0  0]
 [ 3 20]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
3,3, ,0.87,"[[ 0  0]
 [ 3 20]]", ,0.35,"[[ 0  0]
 [15  8]]", ,23
3,4, ,0.91,"[[ 0  0]
 [ 2 20]]", ,0.91,"[[ 0  0]
 [ 2 20]]", ,22
3,5, ,0.91,"[[ 0  0]
 [ 2 20]]", ,0.91,"[[ 0  0]
 [ 2 20]]", ,22
3,6, ,0.87,"[[ 0  0]
 [ 3 20]]", ,0.87,"[[ 0  0]
 [ 3 20]]", ,23
4,1, ,0.71,"[[ 0  0]
 [ 6 15]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,2, ,0.74,"[[ 0  0]
 [ 6 17]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
4,3, ,0.74,"[[ 0  0]
 [ 6 17]]", ,0.3,"[[ 0  0]
 [16  7]]", ,23
4,4, ,0.74,"[[ 0  0]
 [ 6 17]]", ,0.74,"[[ 0  0]
 [ 6 17]]", ,23
4,5, ,0.71,"[[ 0  0]
 [ 6 15]]", ,0.0,"[[ 0  0]
 [21  0]]", ,21
4,6, ,0.74,"[[ 0  0]
 [ 6 17]]", ,0.0,"[[ 0  0]
 [23  0]]", ,23
